phd_dept,score17,rank17,movement_single,movement_aggregate,x2009-2017,scorediff_single,scorediff_aggregate,score13,rank13,score09,rank09,score13_single,rank13_single,movement,discrepancy
Nebraska,2.7,63,2,6,9,-0.1,0.2,2.5,69,2.4,72,2.6,65,7,-4
Syracuse,2.7,63,7,6,3,-0.2,0.2,2.5,69,2.5,66,2.5,70,-4,1
South Carolina,2.7,63,7,6,3,-0.2,0.2,2.5,69,2.5,66,2.5,70,-4,1
Arizona State,2.6,67,-10,-8,-10,0.1,-0.1,2.7,59,2.7,57,2.7,57,0,-2
New School,2.6,67,-10,-8,-10,0.1,-0.1,2.7,59,2.7,57,2.7,57,0,-2
Columbia University Teachers,2.6,67,7,7,5,-0.2,0.2,2.4,74,2.4,72,2.4,74,-2,0
UCSF,2.5,71,-24,-19,-14,0.4,-0.3,2.8,52,2.7,57,2.9,47,10,-5
Santa Cruz,2.5,71,-6,-12,-17,0.1,-0.2,2.7,59,2.8,54,2.6,65,-11,6
Kansas,2.4,75,-10,-11,-11,0.2,-0.2,2.6,64,2.6,64,2.6,65,-1,1
Iowa State,2.3,80,-6,-6,-8,0.1,-0.1,2.4,74,2.4,72,2.4,74,-2,0
Binghamton,2.2,87,-17,-18,-21,0.3,-0.3,2.5,69,2.5,66,2.5,70,-4,1
